time,demo_network.H_1.gen.Throughput
0.014847,17.6775
0.014896,14.946
0.014945,15.7747
0.014994,18.0667
0.015043,14.946
0.015092,16.1403
0.015141,18.4564
0.01519,14.946
0.015239,16.5182
0.015288,14.946
0.015337,14.946
0.015386,16.9021
0.015435,14.946
0.015484,15.141
0.015533,17.289
0.015582,14.946
0.015631,15.4335
0.01568,17.6775
0.015729,14.946
0.015778,15.7747
0.015827,18.0667
0.015876,14.946
0.015925,16.1403
0.015974,18.4564
0.016023,14.946
0.016072,16.1403
0.016121,18.4564
0.01617,14.946
0.016219,16.5182
0.016268,14.946
0.016317,14.946
0.016366,16.9021
0.016415,14.946
0.016464,15.141
0.016513,17.289
0.016562,14.946
0.016611,15.4335
0.01666,17.6775
0.016709,14.946
0.016758,15.7747
0.016807,18.0667
0.016856,14.946
0.016905,16.1403
0.016954,18.4564
0.017003,14.946
0.017052,16.5182
0.017101,14.946
0.01715,14.946
0.017199,16.9021
0.017248,14.946
0.017297,15.141
0.017346,17.289
0.017395,14.946
0.017444,15.4335
0.017493,17.6775
0.017542,14.946
0.017591,15.7747
0.01764,18.0667
0.017689,14.946
0.017738,16.1403
0.017787,18.4564
0.017836,14.946
0.017885,16.5182
0.017934,14.946
0.017983,14.946
0.018032,16.9021
0.018081,14.946
0.01813,15.141
0.018179,17.289
0.018228,14.946
0.018277,15.4335
0.018326,17.289
0.018375,14.946
0.018424,15.4335
0.018473,17.6775
0.018522,14.946
0.018571,15.7747
0.01862,18.0667
0.018669,14.946
0.018718,16.1403
0.018767,18.4564
0.018816,14.946
0.018865,16.5182
0.018914,14.946
0.018963,14.946
0.019012,16.9021
0.019061,14.946
0.01911,15.141
0.019159,17.289
0.019208,14.946
0.019257,15.4335
0.019306,17.6775
0.019355,14.946
0.019404,15.7747
0.019453,18.0667
0.019502,14.946
0.019551,16.1403
0.0196,18.4564
0.019649,14.946
0.019698,16.5182
0.019747,14.946
0.019796,14.946
0.019845,16.9021
0.019894,14.946
0.019943,15.141
0.019992,17.289
0.020041,14.946
0.02009,15.4335
0.020139,17.6775
0.020188,14.946
0.020237,15.7747
0.020286,18.0667
0.020335,14.946
0.020384,16.1403
0.020433,18.4564
0.020482,14.946
0.020531,16.5182
0.02058,18.4564
0.020629,14.946
0.020678,16.5182
0.020727,14.946
0.020776,14.946
0.020825,16.9021
0.020874,14.946
0.020923,15.141
0.020972,17.289
0.021021,14.946
0.02107,15.4335
0.021119,17.6775
0.021168,14.946
0.021217,15.7747
0.021266,18.0667
0.021315,14.946
0.021364,16.1403
0.021413,18.4564
0.021462,14.946
0.021511,16.5182
0.02156,14.946
0.021609,14.946
0.021658,16.9021
0.021707,14.946
0.021756,15.141
0.021805,17.289
0.021854,14.946
0.021903,15.4335
0.021952,17.6775
0.022001,14.946
0.02205,15.7747
0.022099,18.0667
0.022148,14.946
0.022197,16.1403
0.022246,18.4564
0.022295,14.946
0.022344,16.5182
0.022393,14.946
0.022442,14.946
0.022491,16.9021
0.02254,14.946
0.022589,15.141
0.022638,17.289
0.022687,14.946
0.022736,15.4335
0.022785,17.6775
0.022834,14.946
0.022883,15.4335
0.022932,17.6775
0.022981,14.946
0.02303,15.7747
0.023079,18.0667
0.023128,14.946
0.023177,16.1403
0.023226,18.4564
0.023275,14.946
0.023324,16.5182
0.023373,14.946
0.023422,14.946
0.023471,16.9021
0.02352,14.946
0.023569,15.141
0.023618,17.289
0.023667,14.946
0.023716,15.4335
0.023765,17.6775
0.023814,14.946
0.023863,15.7747
0.023912,18.0667
0.023961,14.946
0.02401,16.1403
0.024059,18.4564
0.024108,14.946
0.024157,16.5182
0.024206,14.946
0.024255,14.946
0.024304,16.9021
0.024353,14.946
0.024402,15.141
0.024451,17.289
0.0245,14.946
0.024549,15.4335
0.024598,17.6775
0.024647,14.946
0.024696,15.7747
0.024745,18.0667
0.024794,14.946
0.024843,16.1403
0.024892,18.4564
0.024941,14.946
0.02499,16.5182
0.025039,14.946
0.025088,14.946
0.025137,16.5182
0.025186,14.946
0.025235,14.946
0.025284,16.9021
0.025333,14.946
0.025382,15.141
0.025431,17.289
0.02548,14.946
0.025529,14.946
0.025578,16.9021
0.025627,14.946
0.025676,14.946
0.025725,16.5182
0.025774,18.8462
0.025823,15.3858
0.025872,16.525
0.025921,18.4566
0.02597,14.946
0.026019,15.7747
0.026068,18.0667
0.026117,14.946
0.026166,15.4335
0.026215,17.6775
0.026264,14.946
0.026313,15.141
0.026362,17.289
0.026411,14.946
0.02646,14.946
0.026509,16.9021
0.026558,14.946
0.026607,14.946
0.026656,16.5182
0.026705,14.946
0.026754,14.946
0.026803,15.7747
0.026852,18.0667
0.026901,14.946
0.02695,15.4335
0.026999,17.6775
0.027048,14.946
0.027097,15.141
0.027146,17.289
0.027195,14.946
0.027244,15.141
0.027293,17.289
0.027342,14.946
0.027391,14.946
0.02744,16.5182
0.027489,18.8462
0.027538,14.946
0.027587,15.7747
0.027636,18.0667
0.027685,14.946
0.027734,16.1403
0.027783,18.4564
0.027832,14.946
0.027881,16.5182
0.02793,14.946
0.027979,14.946
0.028028,16.5182
0.028077,14.946
0.028126,14.946
0.028175,16.9021
0.028224,14.946
0.028273,15.141
0.028322,17.289
0.028371,14.946
0.02842,15.4335
0.028469,17.6775
0.028518,14.946
0.028567,15.7747
0.028616,18.0667
0.028665,14.946
0.028714,16.1403
0.028763,18.4564
0.028812,14.946
0.028861,16.5182
0.02891,14.946
0.028959,14.946
0.029008,16.9021
0.029057,14.946
0.029106,15.141
0.029155,17.289
0.029204,14.946
0.029253,15.4335
0.029302,17.6775
0.029351,14.946
0.0294,15.7747
0.029449,18.0667
0.029498,14.946
0.029547,16.1403
0.029596,18.4564
0.029645,14.946
0.029694,16.5182
0.029743,14.946
0.029792,14.946
0.029841,16.9021
0.02989,14.946
0.029939,15.141
0.029988,17.289
