time,demo_victim_network.T_3.port[4].vlarb.StaticFreeCreditsNum in vla
1.67337E-05,98
1.83721E-05,95
2.00105E-05,92
2.16489E-05,89
2.32873E-05,86
2.49257E-05,83
2.65641E-05,80
2.82025E-05,77
2.98409E-05,74
3.14793E-05,71
3.31177E-05,68
3.47561E-05,65
3.63945E-05,62
3.80329E-05,59
3.96713E-05,56
4.13097E-05,53
4.29481E-05,50
4.45865E-05,47
4.62249E-05,44
4.78633E-05,41
4.95017E-05,38
5.11401E-05,35
5.27785E-05,32
5.44169E-05,29
5.60553E-05,26
5.76937E-05,23
5.93385E-05,36
6.09769E-05,33
6.26153E-05,30
6.42537E-05,27
6.58921E-05,24
6.75305E-05,21
6.91689E-05,18
7.08073E-05,15
7.24457E-05,12
7.40841E-05,9
7.57225E-05,6
7.73609E-05,3
7.89993E-05,0
0.000079955,0
0.000079955,0
0.000079955,0
0.000080005,0
8.02963E-05,0
8.15934E-05,0
8.16434E-05,0
8.19347E-05,0
8.32318E-05,0
8.32818E-05,0
8.35731E-05,0
8.48702E-05,0
8.49202E-05,0
8.52115E-05,0
8.65086E-05,0
8.65586E-05,0
8.68499E-05,0
0.000088147,0
0.000088197,0
8.84883E-05,0
8.97854E-05,0
8.98354E-05,0
9.01267E-05,0
9.14238E-05,0
9.14738E-05,0
9.17651E-05,0
9.30622E-05,0
9.31122E-05,0
9.34035E-05,0
9.47006E-05,0
9.47506E-05,0
9.50419E-05,0
0.000096339,0
0.000096389,0
9.66803E-05,0
9.79774E-05,0
9.80274E-05,0
9.83187E-05,0
9.96158E-05,0
9.96658E-05,0
9.99571E-05,0
0.000101254,0
0.000101304,0
0.000101596,0
0.000102893,0
0.000102949,0
0.000103234,0
0.000104531,0
0.000104587,0
0.000104872,0
0.000106169,0
0.000106226,0
0.000106511,0
0.000107808,0
0.000107864,0
0.000108001,31
0.000109025,28
0.000110049,25
0.000111073,22
0.000112097,19
0.000113121,16
0.000114145,13
0.000115169,10
0.000116193,7
0.000117217,4
0.000118241,1
0.000118582,0
0.000119283,0
0.000119333,0
0.000119624,0
0.000120921,0
0.000120971,0
0.000121263,0
0.00012256,0
0.00012261,0
0.000122901,0
0.000124198,0
0.000124248,0
0.00012454,0
0.000125837,0
0.000125887,0
0.000126178,0
0.000127475,0
0.000127525,0
0.000127816,0
0.000129113,0
0.000129163,0
0.000129455,0
0.000130752,0
0.000130802,0
0.000131093,0
0.00013239,0
0.00013244,0
0.000132732,0
0.000134029,0
0.000134079,0
0.00013437,0
0.000135667,0
0.000135717,0
0.000137355,0
0.000138994,0
0.000140632,0
0.000142271,0
0.000143909,0
0.000145547,0
0.000147186,0
0.000148824,0
0.000150463,0
0.000152107,0
0.000153746,0
0.000155384,0
0.000157023,0
0.000158684,28
0.000159708,25
0.000160732,22
0.000161756,19
0.00016278,16
0.000163804,13
0.000164828,10
0.000165852,7
0.000166876,4
0.0001679,1
0.000168241,0
0.000168491,0
0.00017013,0
0.000171768,0
0.000173407,0
0.000175045,0
0.000176683,0
0.000178322,0
0.00017996,0
0.000181599,0
0.000183237,0
0.000184875,0
0.000186514,0
0.000188152,0
0.000189791,0
0.000191429,0
0.000193067,0
0.000194706,0
0.000196344,0
0.000197983,0
0.000199621,0
0.000201259,0
0.000202904,0
0.000204543,0
0.000206181,0
0.000207819,0
0.000208684,29
0.000209708,26
0.000210732,23
0.000211756,20
0.00021278,17
0.000213804,14
0.000214828,11
0.000215852,8
0.000216876,5
0.0002179,2
0.000218582,0
0.000219288,0
0.000220927,0
0.000222565,0
0.000224203,0
0.000225842,0
0.00022748,0
0.000229119,0
0.000230757,0
0.000232395,0
0.000234034,0
0.000235672,0
0.000237311,0
0.000238949,0
0.000240587,0
0.000242226,0
0.000243864,0
0.000245503,0
0.000247141,0
0.000248779,0
0.000250418,0
0.000252063,0
0.000253701,0
0.000255339,0
0.000256978,0
0.000258342,29
0.000259366,26
0.00026039,23
0.000261414,20
0.000262438,17
0.000263462,14
0.000264486,11
0.00026551,8
0.000266534,5
0.000267558,2
0.000268241,0
0.000268447,0
0.000270085,0
0.000271723,0
0.000273362,0
0.000275,0
0.000276639,0
0.000278277,0
0.000279915,0
0.000281554,0
0.000283192,0
0.000284831,0
0.000286469,0
0.000288107,0
0.000289746,0
0.000291384,0
0.000293023,0
0.000294661,0
0.000296299,0
0.000297938,0
0.000299576,0
0.000301215,0
0.000302859,0
0.000304498,0
0.000306136,0
0.000307775,0
0.000308342,30
0.000309366,27
0.00031039,24
0.000311414,21
0.000312438,18
0.000313462,15
0.000314486,12
0.00031551,9
0.000316534,6
0.000317558,3
0.000318582,0
0.000319243,0
0.000320882,0
0.00032252,0
0.000324159,0
0.000325797,0
0.000327435,0
0.000329074,0
0.000330712,0
0.000332351,0
0.000333989,0
0.000335627,0
0.000337266,0
0.000338904,0
0.000340543,0
0.000342181,0
0.000343819,0
0.000345458,0
0.000347096,0
0.000348735,0
0.000350373,0
0.000352018,0
0.000353656,0
0.000355295,0
0.000356933,0
0.000358001,30
0.000359025,27
0.000360049,24
0.000361073,21
0.000362097,18
0.000363121,15
0.000364145,12
0.000365169,9
0.000366193,6
0.000367217,3
0.000368241,0
0.000368402,0
0.00037004,0
0.000371679,0
0.000373317,0
0.000374955,0
0.000376594,0
0.000378232,0
0.000379871,0
0.000381509,0
0.000383147,0
0.000384786,0
0.000386424,0
0.000388063,0
0.000389701,0
0.000391339,0
0.000392978,0
0.000394616,0
0.000396255,0
0.000397893,0
0.000399531,0
0.00040117,0
0.000402815,0
0.000404453,0
0.000406091,0
0.00040773,0
0.000408001,31
0.000409025,28
0.000410049,25
0.000411073,22
0.000412097,19
0.000413121,16
0.000414145,13
0.000415169,10
0.000416193,7
0.000417217,4
0.000418241,1
0.000418582,0
